command,intent
shut a wooden box,CLOSE
grab a small red wooden block,PICKUP
retrieve a small green rubber sphere,PICKUP
unlatch a large brown wooden box,OPEN
place the small green rubber sphere into the small brown paper box,PLACE
set the small blue plastic pyramid on top of the medium metal box,PLACE
move the small red plastic cylinder underneath the medium yellow wooden pyramid,PLACE
deposit the medium yellow wooden pyramid on the floor,PLACE
collect the small blue plastic pyramid,PICKUP
pick up the medium metal box,PICKUP
grab the small red plastic cylinder,PICKUP
check out the medium red plastic sphere,INSPECT
fasten a small brown paper box,CLOSE
check out a medium red plastic sphere,INSPECT
unlatch a metal box,OPEN
look at a small brown paper box,INSPECT
close the wooden box,CLOSE
unseal metal box,OPEN
move the small green rubber sphere in the small brown paper box,PLACE
collect the small red plastic cylinder,PICKUP
unfasten a medium box,OPEN
get the large brown wooden box,PICKUP
seal metal box,CLOSE
position the large metal cylinder inside the large brown wooden box,PLACE
take a small red wooden block,PICKUP
unlock large wooden box,OPEN
get a medium yellow wooden pyramid,PICKUP
unfasten brown paper box,OPEN
check the medium red plastic sphere,INSPECT
drop the large metal cylinder underneath the medium yellow wooden pyramid,PLACE
open a wooden box,OPEN
pick up a medium blue plastic block,PICKUP
fetch the small brown paper box,PICKUP
drop the large metal cylinder on the floor,PLACE
check a large brown wooden box,INSPECT
fetch a large metal cylinder,PICKUP
unlock a paper box,OPEN
examine a medium yellow wooden pyramid,INSPECT
move the small green rubber sphere into the small brown paper box,PLACE
lift up the medium yellow wooden pyramid,PICKUP
unlock the large brown wooden box,OPEN
shut the wooden box,CLOSE
observe the medium yellow wooden pyramid,INSPECT
seal the paper box,CLOSE
pick the large metal cylinder,PICKUP
inspect the small blue plastic pyramid,INSPECT
shut the medium box,CLOSE
lock a small brown paper box,CLOSE
check the medium metal box,INSPECT
set the small green rubber sphere on the large brown wooden box,PLACE
unfasten the paper box,OPEN
collect a medium blue plastic block,PICKUP
close the paper box,CLOSE
seal a medium metal box,CLOSE
shut a small brown paper box,CLOSE
close small paper box,CLOSE
unlock brown paper box,OPEN
retrieve the large green wooden block,PICKUP
open a paper box,OPEN
position the small red wooden block beneath the large metal cylinder,PLACE
observe a small brown paper box,INSPECT
retrieve the medium blue plastic block,PICKUP
examine the large green wooden block,INSPECT
place the large metal cylinder on the table,PLACE
inspect the medium blue plastic block,INSPECT
move the small green rubber sphere inside the small brown paper box,PLACE
place the medium blue plastic block on top of the medium metal box,PLACE
open metal box,OPEN
look into the large brown wooden box,INSPECT
seal small paper box,CLOSE
unfasten a metal box,OPEN
take a small red plastic cylinder,PICKUP
fasten a medium box,CLOSE
position the small blue plastic pyramid beneath the large metal cylinder,PLACE
position the medium yellow wooden pyramid on top of the medium metal box,PLACE
unseal a small brown paper box,OPEN
unlatch a small box,OPEN
position the small blue plastic pyramid into the large brown wooden box,PLACE
observe a medium red plastic sphere,INSPECT
move the small blue plastic pyramid underneath the medium yellow wooden pyramid,PLACE
lock the wooden box,CLOSE
move the medium red plastic sphere below the large green wooden block,PLACE
unseal a paper box,OPEN
unseal the paper box,OPEN
open small paper box,OPEN
fetch a medium red plastic sphere,PICKUP
position the small blue plastic pyramid onto the table,PLACE
unfasten the brown box,OPEN
lift up a medium metal box,PICKUP
lift up the medium red plastic sphere,PICKUP
move the large metal cylinder inside the large brown wooden box,PLACE
shut a medium box,CLOSE
open the medium box,OPEN
deposit the large green wooden block in the large brown wooden box,PLACE
fasten the metal box,CLOSE
open large wooden box,OPEN
set the small blue plastic pyramid in the small brown paper box,PLACE
put the large metal cylinder underneath the medium yellow wooden pyramid,PLACE
observe the large metal cylinder,INSPECT
seal the medium metal box,CLOSE
unlock a small box,OPEN
unlatch large wooden box,OPEN
unfasten a wooden box,OPEN
fasten the paper box,CLOSE
unlock a medium box,OPEN
put the large metal cylinder on the floor,PLACE
put the medium yellow wooden pyramid onto the table,PLACE
observe a medium yellow wooden pyramid,INSPECT
unseal the large brown wooden box,OPEN
get a small blue plastic pyramid,PICKUP
look at a small green rubber sphere,INSPECT
unlock medium metal box,OPEN
open a metal box,OPEN
seal medium metal box,CLOSE
lock medium metal box,CLOSE
position the medium yellow wooden pyramid under the medium blue plastic block,PLACE
shut small paper box,CLOSE
leave the medium blue plastic block underneath the medium yellow wooden pyramid,PLACE
unlock the medium box,OPEN
position the small red wooden block inside the small brown paper box,PLACE
